OLD_TICKER,NEW_TICKER,CHANGE_DATE
SHARRESLTD,CREST,16-Oct-14
KIRLOSKCUM,CUMMINSIND,17-Jun-05
SOFTPRO,CURATECH,23-Nov-10
INFOTECENT,CYIENT,22-May-14
DCB,DCBBANK,15-Jan-14
DCMSRMCONS,DCMSHRIRAM,13-Mar-14
DEEPIND,DEEPENR,30-Sep-20
WEIZFOREX,EBIXFOREX,20-Mar-20
EBIXFOREX,DELPHIFX,01-Sep-21
COATESIND,DICIND,06-Sep-04
DHARAMSI,DMCC,02-Nov-22
DSPN50ETF,NIFTY50ADD,15-Feb-24
DSPNEWETF,EQUAL50ADD,15-Feb-24
DSPBANKETF,BANKETFADD,15-Feb-24
DSPQ50ETF,MIDQ50ADD,15-Feb-24
DSPSILVETF,SILVERADD,15-Feb-24
DSPSENXETF,SENSEXADD,15-Feb-24
DSPGOLDETF,GOLDETFADD,15-Feb-24
DSPITETF,ITETFADD,15-Feb-24
DSPPSBKETF,PSUBANKADD,15-Feb-24
DSPPVBKETF,PVTBANKADD,15-Feb-24
DALMIABEL,DALMIABHA,09-Jan-13
DALMIACEM,DALMIASUG,30-Sep-10
SHRINATRAJ,DALMIAREF,22-May-14
DATATECH,DATAMATICS,20-Apr-09
TITANOCOMP,DENORA,20-Aug-07
DECCANCEM,DECCANCE,02-Aug-07
ARROWGROUP,DELTACORP,11-Dec-08
GPELECT,DELTAMAGNT,15-Dec-08
DEWANHOUS,DHFL,22-May-12
ICFL,DHANILOANS,17-Sep-20
IBVENTURES,DHANI,28-Oct-20
IBVENTPP,DHANIPP,28-Oct-20
IBSEC,IBVENTURES,01-Apr-15
DTIL,DPTL,26-Jul-10
DPTL,DPL,12-Nov-14
DPL,DVL,02-Jan-19
SPICEMOBI,DIGISPICE,28-Aug-19
SPICEMOBIL,SMOBILITY,26-Jul-11
SMOBILITY,SPICEMOBI,19-Aug-14
BVXL,DIGJAM,28-Apr-08
DOLAT,DOLATALGO,20-Dec-21
AANJANEYA,DRDATSONS,02-Sep-13
DYNATECH,DUCON,11-May-16
MUDRA,ELAND,13-Mar-15
OBERHOTEL,EIHAHOTELS,08-Apr-08
EMAIN,EMAPARTNER,11-Mar-25
ESSELPACK,EPL,19-Oct-20
ZOMATO,ETERNAL,09-Apr-25
JD14G,ED14G,28-Nov-16
JD14D,ED14D,28-Nov-16
JP14D,E14D,28-Nov-16
JP14G,E14G,28-Nov-16
JD20D,ED20D,28-Nov-16
JD20G,ED20G,28-Nov-16
JP20D,E20D,28-Nov-16
JP20G,E20G,28-Nov-16
JD35G,ED35G,28-Nov-16
JP35D,E35D,28-Nov-16
JP35G,E35G,28-Nov-16
JD37G,ED37G,28-Nov-16
JP37D,E37D,28-Nov-16
JP37G,E37G,28-Nov-16
JD38G,ED38G,28-Nov-16
JP38D,E38D,28-Nov-16
JP38G,E38G,28-Nov-16
JD40G,ED40G,28-Nov-16
JP40D,E40D,28-Nov-16
JP40G,E40G,28-Nov-16
J502D,E502D,28-Nov-16
J502G,E502G,28-Nov-16
J501D,E501D,28-Nov-16
J501G,E501G,28-Nov-16
ELECONENGG,ELECON,29-Sep-06
ELGITYRE,ELGIRUBBER,22-Dec-08
EMAMIINFRA,EMAMIREAL,15-Nov-18
IBREALEST,EMBDL,08-Jul-24
INDUJENERT,ENTEGRA,25-Apr-07
INDOASIFU,EONELECT,18-Aug-11
MFL,EPIGRAL,11-Sep-23
PROINDIA,EQUIPPP,30-Nov-21
ERACONS,ERAINFRA,25-Feb-08
ETERNEVRST,EVERESTIND,27-May-05
EXCELINFO,EXCEL,05-May-15
CHLORIDIND,EXIDEIND,12-Sep-05
THINKSOFT,SQSBFSI,30-Sep-14
SQSBFSI,EXPLEOSOL,02-May-19
BAJAJTEMPO,FORCEMOT,19-Aug-19
SHRINGAR,FAME,25-Feb-08
FEDDERLOYD,FEDDERELEC,13-Jun-17
GOETZEIND,FMGOETZE,12-Sep-06
FIFMPS6FD,LTFMPS6FD,14-Jan-13
HUGHESSOFT,FSS,17-Mar-05
DABURPHARM,FKONCO,19-Feb-09
FCEL,FCONSUMER,25-Oct-16
FVIL,FCEL,17-Oct-13
