OLD_TICKER,NEW_TICKER,CHANGE_DATE
RMFINQRDP1,NMFINQRDP1,30-Oct-19
NEYVELILIG,NLCINDIA,04-Aug-16
HINDUJATMT,HINDUJAVEN,29-Nov-07
HINDUJAVEN,NXTDIGITAL,11-Nov-19
NAGREKAEXP,NAGREEKA,22-Dec-05
NAHARINVST,NAHARPOLY,15-Jun-11
NAHAREXPOT,NAHARINVST,01-Nov-07
JSTRIPS,NSIL,07-Jun-05
NANDANEXIM,NDL,21-Nov-13
NANDANI,JAIPURKURT,06-Aug-21
NAVNETPUBL,NAVNETEDUL,19-Sep-13
NET4INDIA,NET4,28-Feb-11
KRAFTIND,NETVISTAIT,09-Aug-00
SUJANATWR,NTL,17-Feb-17
MID-DAY,NEXTMEDIA,15-Jun-11
EHFLNCD,NIDO,18-Jul-23
NILKAMPLST,NILKAMAL,05-Jan-07
NETFSDL26,SDL26BEES,10-May-22
NETFGILT5Y,GILT5YBEES,10-May-22
NETFAUTO,AUTOBEES,10-May-22
NETFPHARMA,PHARMABEES,10-May-22
NETFSILVER,SILVERBEES,10-May-22
NCPSESDL24,SDL24BEES,10-May-22
RNAM,NAM-INDIA,23-Jan-20
NETFIT,ITBEES,10-May-22
MEDIA,MVLIND,20-Feb-09
MVLIND,NOESISIND,04-Jun-14
PRESSMAN,NUCENTFIN,20-Aug-01
ORISSACEM,OCL,15-Sep-04
OMMETALS,OMINFRAL,10-Feb-21
ORIENTABRA,ORIENTCER,31-Jul-23
ORTINLAB,ORTINGLOBE,03-Sep-24
OBEROIREAL,OBEROIRLTY,10-Dec-10
GOLDTELE,GOLDINFRA,29-Feb-08
GOLDINFRA,OLECTRA,26-Jul-18
I-FLEX,OFSS,18-Sep-08
ORCHIDCHEM,ORCHIDPHAR,21-Dec-15
ORIENTCERA,ORIENTBELL,17-Apr-12
OTL,ORIENTALTL,17-Dec-09
BINDALAGRO,OSWALGREEN,19-May-23
PREMAUTOEL,PAEL,23-Nov-05
DPRMDAD1,PGIMDAD1G,22-Aug-19
DPRMDAD3,PGIMDAD3D,22-Aug-19
DPRMDAD2,PGIMDAD2D,22-Aug-19
DPRMDAAD,PGIMDAADD,22-Aug-19
DPRMDAGP,PGIMDAGPG,22-Aug-19
DPRMDAQD,PGIMDAQDD,22-Aug-19
DPRMDADP,PGIMDADPD,22-Aug-19
PRM1SD1,PGIM1SD1G,22-Aug-19
PRM1SDP,PGIM1SDPD,22-Aug-19
PRM1SGP,PGIM1SGPG,22-Aug-19
DPRMAAD1,PGIMAAD1G,22-Aug-19
DPRMAAD3,PGIMAAD3D,22-Aug-19
DPRMAAAD,PGIMAAADD,22-Aug-19
DPRMAAGP,PGIMAAGPG,22-Aug-19
DPRMAAQD,PGIMAAQDD,22-Aug-19
DPRMABD1,PGIMABD1G,22-Aug-19
DPRMABAD,PGIMABADD,22-Aug-19
DPRMABGP,PGIMABGPG,22-Aug-19
DPRMABQD,PGIMABQDD,22-Aug-19
DPRMABDP,PGIMABDPD,22-Aug-19
DPRMACD4,PGIMACD4D,22-Aug-19
DPRMACD1,PGIMACD1G,22-Aug-19
DPRMACD2,PGIMACD2D,22-Aug-19
DPRMACAD,PGIMACADD,22-Aug-19
DPRMACGP,PGIMACGPG,22-Aug-19
DPRMACQD,PGIMACQDD,22-Aug-19
DPRMACDP,PGIMACDPD,22-Aug-19
DPRMAED4,PGIMAED4D,22-Aug-19
DPRMAED1,PGIMAED1G,22-Aug-19
DPRMAEAD,PGIMAEADD,22-Aug-19
DPRMAEGP,PGIMAEGPG,22-Aug-19
DPRMAEDP,PGIMAEDPD,22-Aug-19
DPRMFAD4,PGIMFAD4D,22-Aug-19
DPRMFAD1,PGIMFAD1G,22-Aug-19
DPRMFAAD,PGIMFAADD,22-Aug-19
DPRMFAGP,PGIMFAGPG,22-Aug-19
DPRMFAQD,PGIMFAQDD,22-Aug-19
DPRMAGD1,PGIMAGD1G,22-Aug-19
DPRMAGGP,PGIMAGGPG,22-Aug-19
DPRMAHD4,PGIMAHD4D,22-Aug-19
DPRMAHD1,PGIMAHD1G,22-Aug-19
DPRMAHD3,PGIMAHD3D,22-Aug-19
DPRMAHAD,PGIMAHADD,22-Aug-19
DPRMAHGP,PGIMAHGPG,22-Aug-19
DPRMAHQD,PGIMAHQDD,22-Aug-19
DPRMAPD1G,PGIMAPD1G,22-Aug-19
DPRMAPGPG,PGIMAPGPG,22-Aug-19
DPRMAPDPD,PGIMAPDPD,22-Aug-19
DPRMAQD1G,PGIMAQD1G,22-Aug-19
DPRMAQD2D,PGIMAQD2D,22-Aug-19
DPRMAQGPG,PGIMAQGPG,22-Aug-19
DPRMARD1G,PGIMRAD1G,22-Aug-19
DPRMARGPG,PGIMRAGPG,22-Aug-19
DPRMARQDD,PGIMRAQDD,22-Aug-19
DPRMARDPD,PGIMRADPD,22-Aug-19
DPRMATD1G,PGIMATD1G,22-Aug-19
DPRMATGPG,PGIMATGPG,22-Aug-19
DPRMATQDD,PGIMATQDD,22-Aug-19
DPRMATDPD,PGIMATDPD,22-Aug-19
DPRMAUD1G,PGIMAUD1G,22-Aug-19
DPRMAUGPG,PGIMAUGPG,22-Aug-19
DPRMAUQDD,PGIMAUQDD,22-Aug-19
DPRMAUDPD,PGIMAUDPD,22-Aug-19
DPRMAYD1G,PGIMAYD1G,22-Aug-19
DPRMAYGPG,PGIMAYGPG,22-Aug-19
DPRMAZD1G,PGIMAZD1G,22-Aug-19
DPRMAZGPG,PGIMAZGPG,22-Aug-19
DPRMAZDPD,PGIMAZDPD,22-Aug-19
DPRMBAD1G,PGIMBAD1G,22-Aug-19
DPRMBAGPG,PGIMBAGPG,22-Aug-19
DPRMBAQDD,PGIMBAQDD,22-Aug-19
DPRMBADPD,PGIMBADPD,22-Aug-19
DPRMBBD1G,PGIMBBD1G,22-Aug-19
DPRMBBGPG,PGIMBBGPG,22-Aug-19
DPRMBBQDD,PGIMBBQDD,22-Aug-19
DPRMBBDPD,PGIMBBDPD,22-Aug-19
DPRMBCD1G,PGIMBCD1G,22-Aug-19
DPRMBCD2S,PGIMBCD2S,22-Aug-19
DPRMBCGPG,PGIMBCGPG,22-Aug-19
DPRMBCQDD,PGIMBCQDD,22-Aug-19
DPRMBCDPD,PGIMBCDPD,22-Aug-19
DPRMBED1G,PGIMBED1G,22-Aug-19
DPRMBEGPG,PGIMBEGPG,22-Aug-19
DPRMBEQDD,PGIMBEQDD,22-Aug-19
DPRMBEDPD,PGIMBEDPD,22-Aug-19
DWSLCFS2DD,PGIMC6D2D,22-Aug-19
DWSLCFS2DG,PGIMC6D1G,22-Aug-19
DWSLCFS2RD,PGIMC6DPD,22-Aug-19
DWSLCFS2RG,PGIMC6GPG,22-Aug-19
PILIND,PILITA,03-Sep-15
PSLHOLD,PSL,19-May-03
SOFTSOLINT,PVP,23-Jun-08
PVR,PVRINOX,12-May-23
SEINV,PAISALO,24-Jan-18
FOURSOFT,PALRED,16-Jan-14
MTAL,PAVCI,12-Mar-04
GMRINDS,PARRYSUGAR,02-Dec-10
HOPFL,PGIL,02-Jul-12
MORARJESPG,MORAREALTY,15-Oct-04
MORAREALTY,PENINLAND,09-Jun-06
ABBOTTLAB,PHARMACIA,24-Mar-03
HALONIX,PHOENIXLL,30-Oct-13
PHOENIXLMP,HALONIX,09-Mar-09
PIRHEALTH,PEL,21-Sep-12
NICOLASPIR,PIRHEALTH,19-Jun-08
GUJGLASS,PIRGLASS,12-May-08
PIRLIFE,PIRPHYTO,23-Oct-13
PITTILAM,PITTIENG,06-Jun-18
MAGMA,POONAWALLA,05-Aug-21
PRECOTMILL,PRECOT,01-Nov-06
PREMAUTO,PREMIER,14-Jun-05
NUCENT,PRESSMN,11-Sep-13
PREMINSTR,PRICOL,16-Aug-05
PRISMCEM,PRSMJOHNSN,04-May-18
ADI,FAIRCHEM,19-Jan-17
FAIRCHEM,PRIVISCL,14-Oct-20
MERCK,PGHL,11-Jun-19
EMERCK,MERCK,05-Nov-07
P&G,PGHH,07-Jul-04
10157PCP24,10157PCP27,02-Apr-25
GREENFIRE,PROSEED,18-Jul-18
PROZONE,PROZONECSC,24-Sep-12
PROZONECSC,PROZONINTU,07-Oct-14
PROZONINTU,PROZONER,04-Aug-23
SOFFIASOFT,QUINTEGRA,22-Aug-05
ORIENTREF,RHIM,22-Jul-21
RPGTELECOM,RPGCABLES,04-Apr-06
SAELTD,RPGTLTD,05-Dec-06
CESCVENT,RPSGVENT,01-Feb-21
RAJASSPG,RSWM,01-Sep-06
RAINCOM,RAIN,23-Aug-13
PRIYADCEM,RAINCOM,03-Mar-08
RANEMADRAS,RANEHOLDIN,22-Aug-05
IBIPL,RTNINFRA,20-Nov-14
RTNINFRA,RTNINDIA,07-Apr-21
IBPOW,RTNPOWER,20-Nov-14
RMEDIA,RBN,20-Aug-10
RCVL,RCOM,30-Jun-06
REL,RELINFRA,16-May-08
BSES,REL,12-Mar-04
ADLABSFILM,RELMEDIA,20-Oct-09
PIPAVAVYD,PIPAVAVDOC,29-Sep-11
RDEL,RNAVAL,18-Sep-17
PIPAVAVDOC,RDEL,18-Mar-16
RJL,RGL,08-Apr-19
REVATHIEQU,RVTH,26-Nov-24
RATNABLDG,ROOFITIND,15-Sep-99
SBIGETS,SETFGOLD,24-Nov-15
SETFNIFTY,SETFNIF50,24-Nov-15
SETFBANK,SETFNIFBK,24-Nov-15
SETFNIFJR,SETFNN50,24-Nov-15
8KMILES,SECURKLOUD,20-Jan-21
SEZAL,SEJAL,16-Aug-21
REVATHI,SEMAC,21-Sep-23
SCHENHERD,SIGROUPIND,28-Nov-06
HERDILCHEM,SCHENHERD,04-Apr-06
SUTLEJINDS,SILINV,21-Jun-07
SKFBEARING,SKFINDIA,20-Oct-04
HORIZONINF,SKIL,24-Mar-14
HORIZONBAT,HORIZONINF,22-Feb-08
SWARAJMAZD,SMLISUZU,17-Jan-11
SONAMCLOCK,SONAMLTD,15-Nov-23
IBRETAILS,STOREONE,26-Oct-09
STOREONE,SORILINFRA,10-Jan-17
PIRAMYDRET,IBRETAILS,09-Jun-08
SGBJUN29IV,SGBJUL29IV,28-Jul-21
MODILUFT,SPICEJET,19-Aug-19
SUBHASPROJ,SPMLINFRA,14-May-10
SREINTFIN,SREINFRA,21-Jul-10
SHIV-VANI,SVOGL,23-Oct-15
SAGARCEM,SAGCEM,29-Jan-07
PERLENGINF,SAMBHAAV,18-Oct-05
IBULHSGFIN,SAMMAANCAP,26-Jul-24
IBULPP,SCLPP,26-Jul-24
SEPOWER,SAMPANN,23-Aug-23
MOTHERSUMI,MOTHERSON,09-Jun-22
HOECHST,AVENTIS,19-May-03
AVENTIS,SANOFI,11-Jul-12
GRAMOPHONE,SAREGAMA,20-Aug-01
MICROSEC,SASTASUNDR,22-Nov-16
SATHVANISP,SATHAISPAT,27-Dec-06
SAVITACHEM,SOTL,24-Aug-09
FAGPRECISN,FAGBEARING,20-Aug-01
FAGBEARING,SCHAEFFLER,01-Aug-17
PEERLESHIP,SEAMECLTD,20-Aug-01
PRAKASHCON,SETUINFRA,30-Jul-19
SEJALGLASS,SEZALGLASS,14-Jul-10
GAL,SHAH,03-Jul-23
SHALMPAINT,SHALPAINTS,03-Mar-08
SHASUNCHEM,SHASUNPHAR,28-Jan-11
SPYL,SHEKHAWATI,09-Aug-24
AGEEGOLD,SHIRPUR-G,17-Jan-13
ANAMALFIN,SHIVTEX,22-Jan-04
SHREYASHIP,SHREYAS,03-Apr-06
ASTERSILI,SHRIASTER,03-Feb-14
SRTRANSFIN,SHRIRAMFIN,20-Dec-22
SIMPLEXCON,SIMPLEXINF,21-Dec-05
SITICABLE,SITINET,17-Aug-16
WWIL,SITICABLE,03-Oct-12
SIYARSILK,SIYSIL,29-Jan-07
D-LINK,SMARTLINK,29-Jul-09
SOLAREX,SOLARINDS,13-Apr-09
SPLLTD,SOMANYCERA,21-Mar-07
GBNOV23,SBNOV23,15-Sep-16
SBNOV23,SGBNOV23,15-Sep-16
SPENTXIND,SPENTEX,20-Dec-06
SHAKTIGAS,HAVISHA,12-Apr-18
LANCOIND,LANCOIN,28-Aug-07
LANCOIN,SRIPIPES,17-Dec-14
SENTINEL,STEL,08-Nov-11
STERLINTEA,STERLINBIO,09-Jul-03
STRTECH,STLTECH,29-Oct-20
STROPTICAL,STRTECH,17-Dec-07
INEOSSTYRO,STYRENIX,20-Jan-23
KECINTL,KECINFRA,21-Feb-06
KECINFRA,SUMMIT,21-Apr-08
ATFL,SUNDROP,28-Mar-25
SUNFLAGIRN,SUNFLAG,29-Sep-05
SUPREMYARN,SUPREMETEX,15-Feb-08
SURANAVEL,SURANASOL,19-Nov-14
SURANATELE,SURANAT&P,08-Feb-10
NUMERICPW,SWELECTES,09-Jul-12
TATAGLOBAL,TATACONSUM,27-Feb-20
TATATEA,TATAGLOBAL,21-Jul-10
BHAGWATIHO,TGBHOTELS,31-May-13
TWL,TITAGARH,19-Jun-23
SHREYAS,TRANSWORLD,23-Oct-24
IBN18,TV18BRDCST,19-Jul-11
GBN,IBN18,15-May-08
SUNCLAYLTD,TVSHLTD,10-Aug-23
TVS-SUZUKI,TVSMOTOR,03-Dec-01
SRICHAKTYR,TVSSRICHAK,13-Feb-07
ROMAN,TARMAT,12-Sep-12
CONSCOFFEE,TATACOFFEE,04-Apr-06
VSNL,TATACOMM,25-Feb-08
INVESTCORP,TATAINVEST,07-Jul-05
TELCO,TATAMOTORS,26-Dec-03
BHUSANSTL,TATASTLBSL,10-Dec-18
TISCO,TATASTEEL,17-Oct-05
IPITATASPO,TATASPONGE,11-Feb-04
TATASPONGE,TATASTLLP,03-Sep-19
HUGHESTELE,TATATELSER,25-Jun-03
TATATELSER,TTML,14-Jan-05
GISOLUTION,TPHQ,20-Oct-23
NATHSEED,TECHIN,31-Oct-14
SAKETH,TEMBO,13-Apr-20
TEXMACOLTD,TEXINFRA,20-Mar-12
FORTUNEFIN,THEINVEST,25-Jul-18
MADRASALMN,MALCO,12-Apr-07
MADRASCEM,RAMCOCEM,30-Sep-13
TATATIMKEN,TIMKEN,06-Feb-07
TIPSINDLTD,TIPSMUSIC,30-Sep-24
FORGE,TIRUPATIFL,15-Jan-18
AHMEDELEC,TORRENTAEC,17-Jun-05
SURATELEC,TORRENTSEC,07-Jun-05
TRIL,TARIL,26-Aug-24
LAKME,TRENT,07-Jun-04
ABSHEKINDS,TRIDENT,03-May-11
LEADEDSYS,TRIGYN,26-Jul-05
DHANVARSHA,TRU,01-Sep-22
TCLCONS,TICL,07-Feb-25
UCALFUEL,UCAL,26-Jul-23
FLEX,UFLEX,17-Apr-07
MRO-TEK,UMIYA-MRO,15-Apr-25
MINDAIND,UNOMINDA,05-Aug-22
UNIPHOS,UPL,23-Oct-13
MBSWITCH,UJAAS,23-Sep-13
MCDOWELL-N,UNITDSPR,07-Jun-24
HOTELRUGBY,UNIVAFOODS,23-Nov-22
URAVI,URAVIDEF,16-Jan-25
UMITL,UMESL,07-Jan-10
USHABEL,USHAMART,20-Oct-04
LLOYDSTEEL,UTTAMVALUE,29-Apr-13
VISHALRET,V2RETAIL,24-Feb-12
VATECH,WABAG,15-Dec-10
MAXWELL,VIPCLOTHNG,21-Dec-16
VIJAYTEX,VTXIND,04-Apr-11
VAIBHAVGEM,VAIBHAVGBL,24-Dec-12
VAKRANSOFT,VAKRANGEE,27-Nov-13
VDOCONAPPL,VALUEIND,22-May-08
VSGML,VHL,17-Apr-06
MAHAVIRSPG,VTL,11-Oct-06
BABABUSERV,VATSMUSC,20-Aug-01
SSLT,VEDL,07-May-15
SESAGOA,SSLT,04-Oct-13
TIDEWATER,VEEDOL,09-Oct-24
WESTHATCH,VENKEYS,17-Sep-03
VDOLEASE,VIDEOIND,21-Sep-04
VIDHIDYE,VIDHIING,01-Mar-17
VIKASGLOB,VIKASECO,21-Dec-15
VIKASMCORP,VIKASLIFE,06-May-21
WSIND,WSI,01-Aug-07
WABCO-TVS,WABCOINDIA,06-Sep-11
SUREVIN,WEWIN,01-Jul-20
WARTDEISEL,WARTSILA,20-Sep-00
WELGUJ,WELCORP,17-May-10
WELPROJ,WELENT,24-Jun-15
MSKPROJ,WELPROJ,04-Jan-11
WELSPUNIND,WELSPUNLIV,14-Dec-23
WENDTINDIA,WENDT,07-Aug-06
JUMPNET,WINPRO,22-Dec-21
DGPWINDSOR,WINDSOR,05-Apr-05
SURAJDIAMN,WINSOMEDJ,24-Jul-12
WFL,WEL,04-Jan-23
BAJAJPLAST,WOPOLIN,23-Nov-05
WYETHLEDE,WYETH,01-Sep-06
XLTL,XLTELENE,22-Jul-09
XLTELENE,XLENERGY,13-Dec-10
CAMBRIDGE,XCHANGING,25-Jun-12
SCANDENT,CAMBRIDGE,17-Jul-06
IBWSL,SORILHOLD,18-Apr-17
YAARII,YAARI,15-Dec-21
SORILHOLD,IBULISL,08-Jun-18
IBULISL,YAARII,08-Dec-20
ZUARIAGRO,ZUARIGLOB,25-Sep-12
ZUARIGLOB,ZUARIIND,04-Jul-22
ZANDUPHARM,ZANDUREALT,10-Mar-10
ZEETELE,ZEEL,28-Feb-07
ZEENEWS,ZEEMEDIA,30-Jul-13
ZENITHBIR,ZENITHSTL,19-Aug-20
FUJITSICIM,ZENSARTECH,04-Mar-04
CADILAHC,ZYDUSLIFE,07-Mar-22
CITICORSEC,E-SERVEINT,09-Jul-03
MASCOT,IGS,07-Aug-03
780LTFL30,799LTFL30,19-Feb-25
